Cause,Effect,Coefficient,Intercept,R2
sensor_11,sensor_4,0.8301356963159817,3.3666993759629698e-15,0.6891252742980192
sensor_11,sensor_12,-0.8468835930051054,-1.2245754198203199e-13,0.7172118201012364
sensor_11,sensor_15,0.7809127612290567,-3.014662105128015e-14,0.6098247406503895
sensor_11,sensor_7,-0.8228050249957813,-3.403306536033354e-14,0.6770081091583074
sensor_11,sensor_21,-0.7725544629421499,2.1753902674626077e-14,0.5968403982118331
sensor_4,sensor_11,0.8301356963159812,-3.707884088280239e-15,0.6891252742980192
sensor_14,sensor_9,0.9631566003059592,-4.480594663631285e-14,0.927670636712933
sensor_12,sensor_21,0.7562626092978799,1.1475191731976664e-13,0.5719331342220377
sensor_12,sensor_7,0.812712601325443,6.588485476965423e-14,0.6605017723531688
sensor_12,sensor_15,-0.7660517140324822,-1.243435853166139e-13,0.5868352285721042
sensor_12,sensor_11,-0.8468835930051049,-1.0453785721528546e-13,0.7172118201012365
sensor_12,sensor_4,-0.8155905161052353,-9.691801551237022e-14,0.6651878899608041
sensor_4,sensor_21,-0.7451931072313083,2.4714888333606115e-14,0.5553127670650524
sensor_4,sensor_15,0.7584588237333924,-3.314447321872072e-14,0.5752597872990416
sensor_4,sensor_7,-0.7931295615103614,-3.087997951711598e-14,0.6290545013416184
sensor_4,sensor_12,-0.8155905161052349,-1.1921287986408385e-13,0.665187889960804
sensor_7,sensor_15,-0.7470510147905792,-5.605930533571203e-14,0.5580852186996346
sensor_21,sensor_11,-0.7725544629421494,1.56219589397202e-14,0.5968403982118331
sensor_15,sensor_21,-0.7040428734102779,1.1836502229258537e-15,0.4956763675998005
sensor_21,sensor_12,0.7562626092978798,-1.3813783883383754e-13,0.5719331342220377
sensor_21,sensor_15,-0.7040428734102779,-1.5527034823025596e-14,0.4956763675998004
sensor_21,sensor_7,0.7374465463515253,-4.9332065509292517e-14,0.5438274087257928
sensor_21,sensor_4,-0.7451931072313086,1.8830264043020807e-14,0.5553127670650524
sensor_15,sensor_12,-0.7660517140324824,-1.4482106429618248e-13,0.5868352285721044
sensor_15,sensor_7,-0.7470510147905796,-5.5850921493441383e-14,0.5580852186996346
sensor_7,sensor_21,0.7374465463515254,4.7338379044839155e-14,0.5438274087257926
sensor_15,sensor_11,0.7809127612290567,2.239590159910588e-14,0.6098247406503896
sensor_15,sensor_4,0.7584588237333929,2.5533096636175552e-14,0.5752597872990417
sensor_7,sensor_4,-0.7931295615103615,-2.414739544951629e-14,0.6290545013416184
sensor_7,sensor_12,0.8127126013254431,-9.427511160365999e-14,0.6605017723531688
sensor_7,sensor_11,-0.8228050249957807,-2.8951233145254856e-14,0.6770081091583074
sensor_9,sensor_14,0.963156600305959,4.337654884154818e-14,0.927670636712933
sensor_9,sensor_4,0.297428604864041,1.3378179950149465e-14,0.08846377499136993
sensor_9,sensor_21,-0.2927951918590549,1.1767244678874351e-14,0.08572902437578067
sensor_9,sensor_11,0.2745912173796199,8.556654566324178e-15,0.07540033666202173
sensor_9,sensor_15,0.2937530614074444,-2.0144417951770514e-14,0.08629086108624584
sensor_14,sensor_4,0.1907476635905284,3.446239950247462e-16,0.036384671165245464
sensor_14,sensor_11,0.16340794452115906,-3.4372930392793785e-15,0.026702156332630178
sensor_9,sensor_7,-0.21783524789190137,-4.0734485727889405e-14,0.04745219522412625
sensor_9,sensor_12,-0.21023832661481273,-1.287702521633532e-13,0.04420015397779664
sensor_14,sensor_15,0.19376095995408218,-3.3033348213984335e-14,0.037543309602327435
sensor_14,sensor_12,-0.09814050827132575,-1.1966975398496233e-13,0.00963155936375415
sensor_14,sensor_7,-0.11005295045569984,-3.1279533383095e-14,0.012111651904004872
sensor_14,sensor_21,-0.19241506408872439,2.4611960882639547e-14,0.03702355688826775
sensor_11,sensor_9,0.27459121737961995,-4.1051153182675384e-14,0.07540033666202162
sensor_11,sensor_14,0.16340794452115914,3.5410186884546183e-15,0.026702156332630178
sensor_4,sensor_9,0.2974286048640409,-4.2133819530707846e-14,0.0884637749913697
sensor_7,sensor_9,-0.2178352478919013,-4.8744821364497844e-14,0.047452195224125915
sensor_15,sensor_9,0.2937530614074444,-3.2328234763074824e-14,0.08629086108624562
sensor_15,sensor_14,0.1937609599540822,9.346725375367694e-15,0.037543309602327435
sensor_7,sensor_14,-0.11005295045569986,-4.1840461113346e-16,0.01211165190400465
sensor_12,sensor_9,-0.21023832661481273,-6.707997971172852e-14,0.04420015397779675
sensor_21,sensor_14,-0.19241506408872444,7.683455147550819e-15,0.03702355688826775
sensor_4,sensor_14,0.19074766359052842,2.8839625722158574e-15,0.036384671165245464
sensor_12,sensor_14,-0.09814050827132577,-8.712858404958835e-15,0.00963155936375415
sensor_21,sensor_9,-0.29279519185905495,-3.482384370880759e-14,0.08572902437578078
